ANIO,COD_DPTO,NOM_DPTO,NOM_MUSEO,COD_MES,NOM_MES,COD_TIPO,NOM_TIPO,ADU_BOLESPPAGANTES,EST_BOLESPPAGANTES,NIN_BOLESPPAGANTES,MIL_BOLESPPAGANTES,ADM_BOLESPPAGANTES,ADU_PAGANTES,EST_PAGANTES,NIN_PAGANTES,TOTAL_PAGANTES,ADU_BOLESPNOPAGANTES,EST_BOLESPNOPAGANTES,NIN_BOLESPNOPAGANTES,MIL_BOLESPNOPAGANTES,ADM_BOLESPNOPAGANTES,ADU_NOPAGANTES,EST_NOPAGANTES,NIN_NOPAGANTES,TOTAL_NOPAGANTES,TOTAL,FECHA,ADULTOS,ADULTO_MAYOR,ESTUDIANTE,NIÑOS,MILITAR,IDMUSEO
2013,21,Puno,"Templo Museo ""San Juan de Letran""",11,Noviembre,1,Extranjeros,0,0,0,0,0,111,0,0,111,0,0,0,0,0,0,0,0,0,111,2013-11-01,111,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",12,Diciembre,0,Nacionales,0,0,0,0,0,57,18,22,97,0,0,0,0,0,0,0,0,0,97,2013-12-01,57,0,18,22,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",12,Diciembre,1,Extranjeros,0,0,0,0,0,51,0,0,51,0,0,0,0,0,0,0,0,0,51,2013-12-01,51,0,0,0,0,58
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",1,Enero,0,Nacionales,0,0,0,0,0,24,39,1,64,0,0,0,0,0,0,0,0,0,64,2013-01-01,24,0,39,1,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",1,Enero,1,Extranjeros,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,25,2013-01-01,25,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",2,Febrero,0,Nacionales,0,0,0,0,0,47,9,6,62,0,0,0,0,0,10,0,0,10,72,2013-02-01,57,0,9,6,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",2,Febrero,1,Extranjeros,0,0,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,35,2013-02-01,35,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",3,Marzo,0,Nacionales,0,0,0,0,0,47,8,4,59,0,0,0,0,0,7,0,0,7,66,2013-03-01,54,0,8,4,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",3,Marzo,1,Extranjeros,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,33,2013-03-01,33,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",4,Abril,0,Nacionales,0,0,0,0,0,35,4,6,45,0,0,0,0,0,0,0,0,0,45,2013-04-01,35,0,4,6,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",4,Abril,1,Extranjeros,0,0,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,36,2013-04-01,36,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",5,Mayo,0,Nacionales,0,0,0,0,0,26,1,1,28,0,0,0,0,0,24,2,0,26,54,2013-05-01,50,0,3,1,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",5,Mayo,1,Extranjeros,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,30,2013-05-01,30,0,0,0,0,57
